"class","dialogue"
"감정 대화","오늘 괜히 말이 세게 나갔던 것 같아.
상황이 그런 날이 있지.
돌아와서 생각하니까 미안하더라.
마음이 그렇다면 가볍게 한마디 전해보는 것도 좋겠어.
직접 말하는 게 나을까, 메시지가 나을까?
짧게 만나서 웃으며 말하면 더 금방 풀릴 거야.
그래, 길게 설명하려 하지 말고 진심만 전해야겠다.
그게 제일 편해. 상대도 알 거야.
고마워, 덕분에 정리됐다.
힘들면 또 얘기해."
"일상 대화","집 정리를 조금 했더니 공간이 넓어 보이더라.
버린 게 많아?
오래된 서류랑 안 쓰는 상자들 정리했어.
정리하고 나면 머리도 맑아지는 느낌이지.
맞아, 마음도 한결 가벼워.
남은 건 옷장인데 그게 제일 어렵더라.
계절 옷부터 나눠 보면 수월해.
좋다, 이번 주말에 옷부터 해볼게.
필요 없는 건 기부 상자에 담으려고.
그게 제일 깔끔하더라."
"일상 대화","아침에 맑음 때문에 길이 많이 막혔더라.
그래서 평소보다 얼마나 늦었어?
대략 20분쯤. 여유 두고 나가길 잘했어.
요즘은 변수 생각하면 진짜 일찍 나가야 하더라.
맞아, 버스보다 지하철이 안정적이긴 해.
환승이 많은 게 조금 번거롭지.
대신 책 한두 장 읽고 오면 기분이 낫더라.
나는 팟캐스트 듣는 편이야.
그것도 괜찮다. 추천해줄 거 있어?
있지, 집에 가면 링크 보내줄게."
"일상 대화","토요일 오전에 서점에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 서점에서 만나자.
좋아, 난 라떼 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"감정 대화","오늘 작은 일 하나 해냈어.
오, 어떤 거야?
미루던 일을 드디어 마무리했어.
그게 제일 어렵지. 시작하는 게 반이잖아.
맞아, 막상 하고 나니 별거 아니었어.
그 성취감 오래 가져가.
오늘은 스스로에게 조금 친절해져도 되겠다.
그래서 맛있는 거 하나 먹으려고.
좋네, 사진 보내줘.
응, 고마워."
"직장 대화","오후 회의 전까지 디자인 시안 최종본 정리할게.
수정 포인트는 다 반영됐지?
어제 받은 코멘트까지 반영했어.
슬랙에 최신 버전 올려둘게.
형식은 지난주 템플릿 그대로야?
응, 제목만 바뀌었어.
시간 되면 한 번 더 훑어봐 줄래?
알겠어, 문장 흐름만 조금 다듬을게.
고마워, 회의 시작 전에 공유하자.
회의 끝나고 배포까지 맡을게."
"감정 대화","오늘 좀 기운이 없어.
무슨 일 있었어?
크게는 아닌데 계속 신경이 쓰이는 게 있어.
그럴 때 있지. 잠깐 멈추는 것도 방법이야.
그래서 짧은 낮잠로 좀 가라앉혀보려고.
좋다. 몸이 편해지면 마음도 같이 풀리더라.
맞아, 괜히 스스로 몰아붙였던 것 같아.
그럴수록 더 천천히 가는 게 낫지.
오늘은 일찍 쉬는 게 어떨까?
그래볼게. 고마워."
"직장 대화","오늘 할 일 간단히 공유하자.
난 오전에 버그 티켓 두 개 처리할게.
나는 배포 스크립트 점검하고, 오후엔 문서 정리할게.
좋아, 막히는 부분 있으면 바로 얘기하자.
어제 이슈는 원인 확인됐어?
로그 보니까 환경 변수 누락이었어.
그럼 재현은 끝났겠네.
응, 수정 반영해서 다시 테스트 중이야.
오후 회의 전까지 결과 공유해줘.
알겠어."
"직장 대화","어제 보낸 요구사항 정리 피드백 받았어.
어떤 내용이었어?
전체 흐름은 괜찮은데 사례가 조금 부족하대.
그럼 전에 진행한 파일에서 인용할까?
좋아, 맥락만 맞추면 될 것 같아.
수치가 필요한 부분은 따로 표 만들자.
표는 내가 정리해볼게.
그럼 나는 서론이랑 결론을 다듬을게.
내일 오전까지 초안 맞추자.
알겠어, 오후에 합쳐보자."
"일상 대화","퇴근 후에 영화관에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 영화관에서 만나자.
좋아, 난 라떼 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
